"ChIJObkn_A8xUBMRFY95E3CdgpE","Skanderbeg Square","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipOS-fXJMWHR8eTqbX5cZO08V63-cCIFPQUMmSzz=s1600-w500","Sheshi Skënderbej, Tirana 1000, Albania","4.60",NULL,NULL
"ChIJU6Y2xRoxUBMRgcyEzhENuaM","Reja - The Cloud","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipMcnbHJbfK3rnCgojoq7uuuXYIPvCcUFlPKR5px=s1600-w500","Tirana, Albania","4.40",NULL,NULL
"ChIJ13HJcBsxUBMRg0s9vq3gwuA","Pyramid of Tirana","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipOuwQLI4N2n92fOAMLUKl_0SVCNJ8dgPsilbm4h=s1600-w500","Tirana, Albania","3.60",NULL,NULL
"ChIJESRj6hwxUBMR-RY-2HUOVzo","Postbllok - Checkpoint","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipPeHhATwD5bt2FKg6JVFacERhjFLzkA5RM4Gd1u=s1600-w500","Shqipëria, Bulevardi Dëshmorët e Kombit, 1000, Albania","4.00",NULL,NULL
"ChIJd_pbcw8xUBMRDt9s5aAWOmA","Albania Tourist Group","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipMeUjiIrO9Lietn3h_0lylbBnJP-jOTczYUmv9l=s1600-w500","Rruga e Durrësit 106, Tirana, Albania","4.30",NULL,NULL
"ChIJT9cm0QQxUBMRzDBvF59U2ws","Park Rinia","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipNEsOGoXJr0nXLNZ7DodQVR72URlZbZJY5gQHM=s1600-w500","Tirana, Albania","4.30",NULL,NULL
"ChIJ-zvWrxwxUBMRWrgXN_hrc8Q","Hotel Boutique Kotoni","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipOo_BoU-KpA-Sx5C4kksmB_jo_CcQmbNGSPV3GF=s1600-w500","Rruga Donika Kastrioti, Tirana 1000, Albania","4.70",NULL,NULL
"ChIJDXyWqHYxUBMRcdJjBZxmgJY","Attraction place Albania","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipM5ZCsJ6tC-eaFcmAw5LctZgNrZ_2S606yyAbaa=s1600-w500","Shemsi Haka Street 34/3 First Entrance Tirana, 1004, Albania","0.00",NULL,NULL
"ChIJS2JUNacxUBMRBG3cQpNLIEE","Albania Adventure","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipMHwVCRKR0_gh72RmTeR9C2kOKx21X8Q3Vso7JB=s1600-w500","Rruga Don Bosko, Caritas Shqiptar, Nr.4, Tiranë 1001, Albania","5.00",NULL,NULL
"ChIJ2XOfBRAxUBMRxMsbIMvf_-Y","Et'hem Bej Mosque","Tirana","AL","https://lh3.googleusercontent.com/p/AF1QipPrOtdqzwfWEQ47jm-TIRCbp7Ayv2KPL8UCzLz6=s1600-w500","AL, Sheshi Skënderbej, 1000, Albania","4.50",NULL,NULL
